 Plate No,Thick,DISCHARGE_TEMP,HEATING_TIME,P1_TEMP,LAST_PASS_TEMP,FINAL_TEMP,LAST_ROUGH_RED,last_pass_no,FIRST_FIN_RED,FINAL_RED,WAITING_THICK,RESTART_TEMPR,START_TEMPR,WAIT_TIME,C,Mn,P,S,SI,Al,Nb,V,Cu,Charpy
SCC074417,25,1237,5.33,1135.74,820.99,831.24,27.64,13,24.15,20.57,71.28,931.79,1142.18,197.28,0.180,1.340,0.020,0.012,0.261,0.025,0.042,0.039,0.001,Pass
SCC074417,25,1237,5.33,1135.74,820.99,831.24,27.64,13,24.15,20.57,71.28,931.79,1142.18,197.28,0.180,1.340,0.020,0.012,0.261,0.025,0.042,0.039,0.001,Pass
SCC083955,20,1198,4.65,1065.10,841.65,826.26,32.33,13,23.27,15.68,59.72,927.60,1100.70,142.95,0.150,1.260,0.020,0.010,0.280,0.025,0.035,0.034,0.001,Pass
SCC083956,20,1190,4.58,1095.44,839.53,814.67,16.07,15,23.19,15.23,59.39,921.62,1098.55,163.14,0.150,1.260,0.020,0.010,0.280,0.025,0.035,0.034,0.001,Pass
SCC084707,12,1201,5.40,1118.99,803.52,753.23,40.24,13,24.73,9.13,35.45,957.50,1110.75,73.04,0.160,1.250,0.013,0.012,0.235,0.029,0.030,0.035,0.001,Pass
SCC084708,12,1218,5.49,1111.58,796.11,757.26,39.31,13,24.61,9.46,35.45,963.89,1125.19,63.14,0.160,1.250,0.013,0.012,0.235,0.029,0.030,0.035,0.001,Pass
SCC085537,20,1220,4.62,1138.22,881.03,877.54,23.05,13,26.11,24.37,49.43,954.52,1126.83,77.33,0.160,1.300,0.017,0.008,0.280,0.029,0.031,0.035,0.001,Fail
SCC085538,20,1232,4.72,1136.49,892.49,880.98,21.68,13,26.12,24.29,49.43,961.15,1137.69,72.28,0.160,1.300,0.017,0.008,0.280,0.029,0.031,0.035,0.001,Fail
SCC071472,16,1219,4.90,1115.25,872.00,797.52,26.37,15,23.64,11.23,47.44,969.55,1114.45,97.12,0.160,1.250,0.024,0.015,0.198,0.032,0.032,0.030,0.002,Pass
SCC071474,16,1222,4.95,1125.84,875.54,799.30,26.61,15,23.58,11.26,47.44,968.08,1111.42,102.16,0.160,1.250,0.024,0.015,0.198,0.032,0.032,0.030,0.002,Pass
SCC071718,12,1232,4.94,1132.39,809.04,726.81,18.63,15,23.63,14.12,35.52,974.83,1132.36,32.10,0.170,1.158,0.020,0.013,0.191,0.034,0.036,0.038,0.002,Pass
SCC071719,12,1233,5.03,1106.04,817.98,728.43,18.43,15,23.95,11.75,35.51,967.73,1138.19,42.44,0.170,1.158,0.020,0.013,0.191,0.034,0.036,0.038,0.002,Pass
SCC071856,20,1209,4.24,1098.08,845.54,815.89,19.70,15,23.31,11.19,59.37,922.52,1115.84,172.42,0.180,1.200,0.020,0.011,0.240,0.030,0.039,0.042,0.002,Fail
SCC071857,20,1207,4.36,1109.33,842.37,814.23,19.93,15,23.32,11.17,59.38,925.62,1111.73,162.28,0.180,1.200,0.020,0.011,0.240,0.030,0.039,0.042,0.002,Pass
SCC072134,20,1221,5.38,1116.84,858.11,730.05,32.54,13,22.71,15.16,59.36,934.19,1126.03,187.84,0.160,1.140,0.021,0.018,0.295,0.029,0.035,0.033,0.002,Pass
SCC072135,20,1222,5.49,1109.69,868.36,800.78,32.56,13,22.83,15.41,59.77,938.44,1115.04,157.87,0.160,1.140,0.021,0.018,0.295,0.029,0.035,0.033,0.002,Pass
